id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,wkt
44639139,4994016382,4976600761,72.15969707391505,1,3,3,2,2,"LINESTRING(91.7150135 26.2009212, 91.7149502 26.2012079, 91.7148202 26.2015442)"
44639139,4976600761,566709210,28.41800136561547,1,3,3,2,2,"LINESTRING(91.7148202 26.2015442, 91.7147270 26.2017854)"
44639139,566709210,566709219,129.31661043235368,1,3,3,2,2,"LINESTRING(91.7147270 26.2017854, 91.7146068 26.2020011, 91.7142807 26.2024323, 91.7139974 26.2027404)"
44639139,566709219,4976600723,76.76300600325251,1,3,3,2,2,"LINESTRING(91.7139974 26.2027404, 91.7136370 26.2031177, 91.7134810 26.2032501)"
44639139,4976600723,4976595696,121.29009084607031,1,3,3,2,2,"LINESTRING(91.7134810 26.2032501, 91.7133194 26.2033873, 91.7128902 26.2036260, 91.7124878 26.2038720)"
44639139,4976595696,4994112195,199.7277210035699,1,3,3,2,2,"LINESTRING(91.7124878 26.2038720, 91.7108354 26.2048825)"
44639139,4994112195,4976595281,2.767684367720797,1,3,3,2,2,"LINESTRING(91.7108354 26.2048825, 91.7108125 26.2048965)"
44639139,4976595281,566709252,149.890733943686,1,3,3,2,2,"LINESTRING(91.7108125 26.2048965, 91.7101951 26.2052740, 91.7099462 26.2054434, 91.7098175 26.2055974, 91.7097231 26.2057823)"
44639607,4079922176,4974537508,112.37843657865625,1,3,0,2,0,"LINESTRING(91.8121207 26.1325351, 91.8123659 26.1325784, 91.8125151 26.1326264, 91.8132248 26.1327120)"
44639607,4974537508,4974547825,38.35675083717956,1,3,0,2,0,"LINESTRING(91.8132248 26.1327120, 91.8136059 26.1327528)"
44639607,4974547825,4890746595,184.83608806286557,1,3,0,2,0,"LINESTRING(91.8136059 26.1327528, 91.8154424 26.1329492)"
44639607,4890746595,7070862304,82.18299955391198,1,3,0,2,0,"LINESTRING(91.8154424 26.1329492, 91.8162599 26.1330291)"
44639607,7070862304,4974641948,67.27434166879688,1,3,0,2,0,"LINESTRING(91.8162599 26.1330291, 91.8169291 26.1330945)"
44639607,4974641948,4890746621,99.83969347467541,1,3,0,2,0,"LINESTRING(91.8169291 26.1330945, 91.8173207 26.1331328, 91.8179237 26.1331779)"
44639607,4890746621,4974641961,132.82335683406907,1,3,0,2,0,"LINESTRING(91.8179237 26.1331779, 91.8192483 26.1332754)"
44639607,4974641961,5623038914,14.24843317268175,1,3,0,2,0,"LINESTRING(91.8192483 26.1332754, 91.8193904 26.1332858)"
44639607,5623038914,4974641941,37.031435055950084,1,3,0,2,0,"LINESTRING(91.8193904 26.1332858, 91.8197597 26.1333130)"
44639607,4974641941,4890746619,138.8811605115305,1,3,0,2,0,"LINESTRING(91.8197597 26.1333130, 91.8211448 26.1334140)"
44639607,4890746619,4974547856,76.70247863698441,1,3,0,2,0,"LINESTRING(91.8211448 26.1334140, 91.8214881 26.1334394, 91.8219098 26.1334695)"
44639607,4974547856,4975167314,48.51331265875348,1,3,0,2,0,"LINESTRING(91.8219098 26.1334695, 91.8221863 26.1334892, 91.8223940 26.1335002)"
44639607,4975167314,4975167312,62.78002180314357,1,3,0,2,0,"LINESTRING(91.8223940 26.1335002, 91.8230202 26.1335450)"
44639607,4975167312,7053622366,47.793894140462704,1,3,0,2,0,"LINESTRING(91.8230202 26.1335450, 91.8234972 26.1335758)"
44639607,7053622366,1299590377,128.17826091151937,1,3,0,2,0,"LINESTRING(91.8234972 26.1335758, 91.8238412 26.1336000, 91.8242784 26.1336349, 91.8245748 26.1336422, 91.8247760 26.1336253)"
44639607,1299590377,7085456994,109.50671774825838,1,3,0,2,0,"LINESTRING(91.8247760 26.1336253, 91.8250053 26.1335169, 91.8254077 26.1332990, 91.8257293 26.1331409)"
44639607,7085456994,5440116203,95.59003484304395,1,3,0,2,0,"LINESTRING(91.8257293 26.1331409, 91.8258019 26.1331052, 91.8261211 26.1329908, 91.8264108 26.1329029, 91.8266026 26.1328740, 91.8266323 26.1328728)"
44639607,5440116203,6709307524,7.142468817491476,1,3,0,2,0,"LINESTRING(91.8266323 26.1328728, 91.8267037 26.1328700)"
44639607,6709307524,4974642074,78.05381567241537,1,3,0,2,0,"LINESTRING(91.8267037 26.1328700, 91.8268131 26.1328656, 91.8273952 26.1329402, 91.8274780 26.1329499)"
44639607,4974642074,6722777892,88.66176651953336,1,3,0,2,0,"LINESTRING(91.8274780 26.1329499, 91.8280201 26.1330137, 91.8283564 26.1330611)"
44639607,6722777892,4079923005,189.3028970398924,1,3,0,2,0,"LINESTRING(91.8283564 26.1330611, 91.8287376 26.1331148, 91.8291064 26.1331557, 91.8302429 26.1331756)"
44639607,4079923005,1299590408,181.38134407682816,1,3,0,2,0,"LINESTRING(91.8302429 26.1331756, 91.8306138 26.1332039, 91.8315271 26.1332063, 91.8320555 26.1332352)"
44639607,1299590408,4079923031,157.5699975867989,1,3,0,2,0,"LINESTRING(91.8320555 26.1332352, 91.8323465 26.1332388, 91.8325423 26.1332557, 91.8327113 26.1333195, 91.8330265 26.1335085, 91.8333604 26.1337445, 91.8334482 26.1337904)"
44639845,6158501982,6158502953,6.910506811144415,1,3,0,2,0,"LINESTRING(91.8293358 26.1785466, 91.8293513 26.1784861)"
44639845,6158502953,7085604688,904.7448420997628,1,3,0,2,0,"LINESTRING(91.8293513 26.1784861, 91.8294596 26.1784206, 91.8296185 26.1783025, 91.8300778 26.1778997, 91.8303931 26.1774102, 91.8305004 26.1769667, 91.8307084 26.1761559, 91.8306829 26.1757582, 91.8304275 26.1750676, 91.8303322 26.1748098, 91.8301971 26.1743509, 91.8300620 26.1736521, 91.8299541 26.1728824, 91.8297284 26.1720411, 91.8294131 26.1713451, 91.8292246 26.1709567)"
